1\Tenacity\1\1\100, 0\300, 0\Increase DEF by 3%\Increase DEF by 5%\-\\\
998\Masquerade of the Vampire\3\5\160, 100\800, 500\Gain 1 Critical Star per turn, Increase Critical Star Drop Rate by 10%, Increase Bad Coaster drop amount by 1 [CHALDEA BOYS 1]\Gain 2 Critical Stars per turn, Increase Critical Star Drop Rate by 15%, Increase Bad Coaster drop amount by 2 [CHALDEA BOYS 1]\-\STAR Shadow Magician\\\CHALDEA BOYS COLLECTION 2027
999\Princess Pilgrimage\5\12\400, 250\1600, 1000\Increase Quick Card effectiveness by 10%, Increase Critical Strength by 10%, Increase NP Gauge by 40% at the start of battle, Increase Flower Ornate Hairpin drop amount by 1 [Tokugawa]\Increase Quick Card effectiveness by 15%, Increase Critical Strength by 15%, Increase NP Gauge by 50% at the start of battle, Increase Flower Ornate Hairpin drop amount by 2 [Tokugawa]\-\Itou Noiji\\\Tokugawa Kaiten Labyrinth: Ooku
1000\Spring Beauty\4\9\320, 200\1200, 750\Increase NP Gain by 15%, Increase Critical Strength by 15%, Increase Moon Luster Rouge drop amount by 1 [Tokugawa]\Increase NP Gain by 20%, Increase Critical Strength by 20%, Increase Moon Luster Rouge drop amount by 2 [Tokugawa]\-\Ono Tako\\\Tokugawa Kaiten Labyrinth: Ooku
1001\Firefighter Spirit\3\5\0, 200\0, 1000\Increase Buster Card effectiveness by 3%, Increase NP Gain by 5%, Increase Snow Face Powder drop amount by 1 [Tokugawa]\Increase Buster Card effectiveness by 5%, Increase NP Gain by 10%, Increase Snow Face Powder drop amount by 2 [Tokugawa]\-\Iwamoto Eiri\\\Tokugawa Kaiten Labyrinth: Ooku
1002\Crowning Beauty\5\12\400, 250\1600, 1000\Increase Quick Card effectiveness by 8%, Increase Arts Card effectiveness by 8%, Gain 15 Critical Stars when entering the battle (1 time), Increase ATK Strength by 100% [Tokugawa]\Increase Quick Card effectiveness by 10%, Increase Arts Card effectiveness by 10%, Gain 20 Critical Stars when entering the battle (1 time), Increase ATK Strength by 200% [Tokugawa]\-\TAKOLEGS\\\Tokugawa Kaiten Labyrinth: Ooku
1003\Arrows of Flower\4\9\100, 100\100, 100\When equipped to Kama (Assassin) only, Increase own Quick Card effectivess by 15% and Critical Strength by 20%.\\-\\\
1004\Escape from the Pyramid\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50\\-\Kazuaki\\\｢Mysterious Singularity II: Escape from the Pyramid｣ Commemoration Campaign
1005\Whydunnit\5\12\400, 250\1600, 1000\Increase Buster Card effectiveness by 10%, Increase NP Gain by 20%, Increase Noble Clock drop amount by 1 [Case Files]\Increase Buster Card effectiveness by 15%, Increase NP Gain by 25%, Increase Noble Clock drop amount by 2 [Case Files]\-\Kinako\\\Lady Reines Case Files
1006\Prayers of Winter\4\9\600, 0\2250, 0\Increase NP Gauge by 4% per turn, Increase Critical Strength by 10%, Increase Dandy Rabbit drop amount by 1 [Case Files]\Increase NP Gauge by 5% per turn, Increase Critical Strength by 15%, Increase Dandy Rabbit drop amount by 2 [Case Files]\-\Cogecha\\\Lady Reines Case Files
1007\El-Melloi Classroom\3\5\160, 100\800, 500\Increase Quick Card effectiveness by 5%, Increase NP Gain by 3%, Increase Formal Leaves drop amount by 1 [Case Files]\Increase Quick Card effectiveness by 8%, Increase NP Gain by 5%, Increase Formal Leaves drop amount by 2 [Case Files]\-\Endou Minari\\\Lady Reines Case Files
1008\Next Period Chief Conference\5\12\0, 500\0, 2000\Increase Arts Card effectiveness by 8%, Increase NP Gain by 8%, Gain 3 Critical Stars per turn, Increase Rare Enemy appearance rate by 15% [Case Files]\Increase Arts Card effectiveness by 10%, Increase NP Gain by 10%, Gain 4 Critical Stars per turn, Increase Rare Enemy appearance rate by 30% [Case Files]\-\Morikura En\\\Lady Reines Case Files
1009\El-Melloi Teatime\4\9\100, 100\100, 100\When equipped to Sima Yi (Reines) (Rider) only, Increase Arts Card effectiveness of all allies by 15% while she is on the field\\-\moryo\\
1010\Scales of the Stars\4\9\100, 100\100, 100\When equipped to Astraea (Ruler) only, Increase Arts Card effectiveness of all allies by 10% and Critical Strength by 15% while she's on the field.\\-\Sakuma Mitsuro\\
1011\Gravekeeper's Treasure\4\9\100, 100\100, 100\When equipped to Gray (Assassin) only, Increase ATK and NP Strength of all allies by 10% while she's on the field.\\-\\\
1012\Personal Coaching\5\12\400, 250\1600, 1000\Increase Master EXP from clearing quests by 1% (Increased to 3% when used as Support)\Increase Master EXP from clearing quests by 5% (Increased to 15% when used as Support)\-\Kodama\\
1013\Singing Spear, Roaring Spear\4\9\100, 100\100, 100\Increase Mystic Code EXP from clearing quests by 50\\-\KEI\\
1014\Sexy Pin-up\4\9\100, 100\100, 100\Increase Master EXP from clearing quests by 50\\-\Riyo\\
1015\Twilight Holy King\5\12\400, 250\1600, 1000\Increase Buster Card effectiveness by 20%, Increase NP Strength by 10%\Increase Buster Card effectiveness by 25%, Increase NP Strength by 15%\-\hou\\
1016\La Folia\4\9\320, 200\1200, 750\Increase Buster Card effectiveness by 10%, Increase HP Recovery Amount by 10%\Increase Buster Card effectiveness by 15%, Increase HP Recovery Amount by 20%\-\okojo\\
1017\Day After\3\5\160, 100\800, 500\Increase NP Gauge by 1% per turn, Increase Debuff Resist by 5%\Increase NP Gauge by 2% per turn, Increase Debuff Resist by 10%\-\Hino Hinako\\
1018\Family Protrait\4\9\600, 0\2250, 0\Increase HP Recovery Amount by 15%, Apply Damage Cut 300\Increase HP Recovery Amount by 20%, Apply Damage Cut 400\-\bob\\\Reward for clearing Lostbelt No.4: Yuga Kshetra
1019\At the Gate of Delicious Food\4\9\100, 100\100, 100\When equipped to Ganesha (Jinako) (Moon Cancer) only, Gain 8 Critical Stars per turn, Restore HP of all allies by 300 per turn while she's on the field\\-\Tatsuyo\\
1020\In the End, My Feelings Still Persevere\4\9\100, 100\100, 100\When equipped to Lakshmi Bai (Saber) only, Increase Quick Card effectiveness of all allies by 10% and NP Gain by 10% while she's on the field\\-\\\
1021\One Arrow's Narrative\4\9\100, 100\100, 100\When equipped to William Tell (Archer) only, Increase Arts Card effectiveness of all allies by 10% and Critical Strength by 15% while he's on the field\\-\Gin no Fude\\
1022\Wood Carving\4\9\100, 100\100, 100\When equipped to Arjuna (Alter) (Berserker) only, Apply Invincible (3 times), Increase NP Strength by 30%\\-\\\
1023\Something I Was Not Able to Obtain\4\9\100, 100\100, 100\When equipped to Ashvatthaman (Archer) only, Increase Buster Card effectiveness and Critical Strength of all allies by 15%, but decrease their DEF by 10% while he's on the field\\-\moryo\\
1024\Snake Staff\4\9\100, 100\100, 100\When equipped to Asklepios (Caster) only, Increase HP Recovery Amount of all allies by 30% while he's on the field \\-\\\
1025\Grace Note\4\9\100, 100\100, 100\Increase Mystic Code EXP from clearing quests by 50\\-\Nakai Jun\\\Lord El-Melloi II Case Files -Rail Zeppelin Grace note- Launch Commemoration Quest
1026\Rivalry of Warlords\5\12\0, 500\0, 2000\Increase Quick Card effectiveness by 10%, Increase Buster Card effectiveness by 10%, Increase NP Gauge by 40% at the start of battle, Increase Formation Miso by 1[GUDAGUDA 4]\Increase Quick Card effectiveness by 12%, Increase Buster Card effectiveness by 12%, Increase NP Gauge by 50% at the start of battle, Increase Formation Miso by 2 [GUDAGUDA 4]\-\K-SUWABE\\\GUDAGUDA Final Honnoji 2019
1027\War God\4\9\0, 400\0, 1500\Increase Arts Card effectiveness by 8%, Increase NP Strength by 8%, Increase NP Gain by 8%, Increase Irrelevant Salt by 1 [GUDAGUDA 4]\Increase Arts Card effectiveness by 10%, Increase NP Strength by 10%, Increase NP Gain by 10%, Increase Irrelevant Salt by 2 [GUDAGUDA 4]\-\AruTera\\\GUDAGUDA Final Honnoji 2019
1028\Tea Ceremony of Demons\3\5\160, 100\800, 500\Increase Critical Strength by 5%, Increase HP Recovery Amount by 5%, Increase Ramie Thread by 1 [GUDAGUDA 4]\Increase Critical Strength by 10%, Increase HP Recovery Amount by 10%, Increase Ramie Thread by 2 [GUDAGUDA 4]\-\Suzuki Tsuta\\\GUDAGUDA Final Honnoji 2019
1029\Can't Fight on an Empty Stomach\5\12\400, 250\1600, 1000\Increase Arts Card effectiveness by 10%, Increase Quick Card effectiveness by 10%, Increase Critical Strength by 10%, Increase ATK Strength by 100% [GUDAGUDA 4]\Increase Arts Card effectiveness by 15%, Increase Quick Card effectiveness by 15%, Increase Critical Strength by 15%, Increase ATK Strength by 200% [GUDAGUDA 4]\-\kayahara\\\GUDAGUDA Final Honnoji 2019
1030\Demon King of the GUDAGUDA Heaven x3\4\9\0, 0\0, 0\No Effect, Increase Craft Essence EXP by 30,000 when used as synthesis material.\\-\Keikenchi\EXPCard\\GUDAGUDA Final Honnoji 2019
1031\Bishamonten is Here!\3\5\0, 0\0, 0\No Effect, Increase Craft Essence EXP by 18,000 when used as synthesis material.\\-\Keikenchi\EXPCard\\GUDAGUDA Final Honnoji 2019
1032\Beyond the Aeonless\4\9\100, 100\100, 100\When equipped to Demon King Nobunaga (Avenger) only, Increase Buster Card effectiveness of all allies by 15% and NP Strength by 10%, but decrease their DEF by 10% while she's on the field.\\-\Sakuma Mitsuro\\
1033\Last Will\4\9\100, 100\100, 100\When equipped to Mori Nagayoshi (Berserker) only, Increase Buster Card effectiveness of all allies by 10% and Critical Strength by 15% while he's on the field.\\-\Tatsuyo\\
1034\Eight-Sword Bishamonten\4\9\100, 100\100, 100\When equipped to Nagao Kagetora (Lancer) only, Increase Arts Card effectiveness of all allies by 10% and NP Gain by 10% while she's on the field.\\-\\\
1035\Women of Agartha\4\9\100, 100\100, 100\Increase Master EXP from clearing quests by 50\\-\Takenaka Hideo\\
1036\Seven Duels of Swordmasters\4\9\100, 100\100, 100\Increase Master EXP from clearing quests by 50\\-\Watari Rei\\
1037\Abyssal Cyber Paradise SE.RA.PH.\4\9\100, 100\100, 100\Increase Master EXP from clearing quests by 50\\-\Nishide Kengoro\\
1038\Heroic Spirit Festival: Achilleus\4\9\100, 100\100, 100\Increase Mystic Code EXP from clearing quests by 50\\-\Konoe Ototsugu\\
1039\Heroic Spirit Festival: Astraea\4\9\100, 100\100, 100\Increase Mystic Code EXP from clearing quests by 51\\-\Azuma Toh\\
1040\Heroic Spirit Festival: Anastasia\4\9\100, 100\100, 100\Increase Mystic Code EXP from clearing quests by 52\\-\sime\\
1041\Heroic Spirit Festival: Abigail Williams\4\9\100, 100\100, 100\Increase Mystic Code EXP from clearing quests by 53\\-\Kuroboshi Kouhaku\\
1042\Heroic Spirit Festival: Amadeus\4\9\100, 100\100, 100\Increase Mystic Code EXP from clearing quests by 54\\-\PFALZ\\
1043\Heroic Spirit Festival: Arjuna\4\9\100, 100\100, 100\Increase Mystic Code EXP from clearing quests by 55\\-\pako\\
1044\Heroic Spirit Festival: Altria Pendragon\4\9\100, 100\100, 100\Increase Mystic Code EXP from clearing quests by 56\\-\Takeuchi Takashi\\
1045\Heroic Spirit Festival: Andersen\4\9\100, 100\100, 100\Increase Mystic Code EXP from clearing quests by 57\\-\Wada Arco\\
1046\Heroic Spirit Festival: Antonio Salieri\4\9\100, 100\100, 100\Increase Mystic Code EXP from clearing quests by 58\\-\PFALZ\\
1047\Heroic Spirit Festival: Ibaraki-Douji\4\9\100, 100\100, 100\Increase Mystic Code EXP from clearing quests by 59\\-\Hidari\\
1048\Heroic Spirit Festival: Ereshkigal\4\9\100, 100\100, 100\Increase Mystic Code EXP from clearing quests by 60\\-\Morii Shizuki\\
1049\Heroic Spirit Festival: Helena Blavatsky\4\9\100, 100\100, 100\Increase Mystic Code EXP from clearing quests by 61\\-\Matsuryuu\\
1050\Heroic Spirit Festival: Yan Qing\4\9\100, 100\100, 100\Increase Mystic Code EXP from clearing quests by 62\\-\Shima Udon\\
1051\Heroic Spirit Festival: Okada Izou\4\9\100, 100\100, 100\Increase Mystic Code EXP from clearing quests by 63\\-\lack\\
1052\Heroic Spirit Festival: Osakabe-hime\4\9\100, 100\100, 100\Increase Mystic Code EXP from clearing quests by 64\\-\Moriyama Daisuke\\
1053\Heroic Spirit Festival: Katsushika Hokusai\4\9\100, 100\100, 100\Increase Mystic Code EXP from clearing quests by 65\\-\Kuroboshi Kouhaku\\
1054\Heroic Spirit Festival: Yu Meiren\4\9\100, 100\100, 100\Increase Mystic Code EXP from clearing quests by 66\\-\toi8\\
1055\Heroic Spirit Festival: Quetzalcoatl\4\9\100, 100\100, 100\Increase Mystic Code EXP from clearing quests by 67\\-\Hiroe Rei\\
1056\Heroic Spirit Festival: Sakamoto Ryouma\4\9\100, 100\100, 100\Increase Mystic Code EXP from clearing quests by 68\\-\pako\\
1057\Heroic Spirit Festival: Sanson\4\9\100, 100\100, 100\Increase Mystic Code EXP from clearing quests by 69\\-\Shima Drill\\
1058\Heroic Spirit Festival: Shi Huang Di\4\9\100, 100\100, 100\Increase Mystic Code EXP from clearing quests by 70\\-\Azuma Toh\\
1059\Heroic Spirit Festival: Sitonai\4\9\100, 100\100, 100\Increase Mystic Code EXP from clearing quests by 71\\-\BLACK\\
1060\Heroic Spirit Festival: Jeanne d'Arc\4\9\100, 100\100, 100\Increase Mystic Code EXP from clearing quests by 72\\-\Takeuchi Takashi\\
1061\Heroic Spirit Festival: Shuten-Douji\4\9\100, 100\100, 100\Increase Mystic Code EXP from clearing quests by 73\\-\Honjou Raita\\
1062\Heroic Spirit Festival: Scathach=Skadi\4\9\100, 100\100, 100\Increase Mystic Code EXP from clearing quests by 74\\-\Koyama Hirokazu\\
1063\Heroic Spirit Festival: Sessyoin Kiara\4\9\100, 100\100, 100\Increase Mystic Code EXP from clearing quests by 75\\-\Wada Arco\\
1064\Heroic Spirit Festival: Diarmuid Ua Duibhne\4\9\100, 100\100, 100\Increase Mystic Code EXP from clearing quests by 76\\-\Azusa\\
1065\Heroic Spirit Festival: Tomoe Gozen\4\9\100, 100\100, 100\Increase Mystic Code EXP from clearing quests by 77\\-\Shirabi\\
1066\Heroic Spirit Festival: Mysterious Heroine XX\4\9\100, 100\100, 100\Increase Mystic Code EXP from clearing quests by 78\\-\BUNBUN\\
1067\Heroic Spirit Festival: Parvati\4\9\100, 100\100, 100\Increase Mystic Code EXP from clearing quests by 79\\-\Aotsuki Takao\\
1068\Heroic Spirit Festival: Bradamante\4\9\100, 100\100, 100\Increase Mystic Code EXP from clearing quests by 80\\-\saitom\\
1069\Heroic Spirit Festival: Bedivere\4\9\100, 100\100, 100\Increase Mystic Code EXP from clearing quests by 81\\-\Tenkuu Sphere\\
1070\Heroic Spirit Festival: Paul Bunyan\4\9\100, 100\100, 100\Increase Mystic Code EXP from clearing quests by 82\\-\Riyo\\
1071\Heroic Spirit Festival: Marie Antoinette\4\9\100, 100\100, 100\Increase Mystic Code EXP from clearing quests by 83\\-\Ginka\\
1072\Heroic Spirit Festival: Martha\4\9\100, 100\100, 100\Increase Mystic Code EXP from clearing quests by 84\\-\Sakamoto Mineji\\
1073\Heroic Spirit Festival: Mordred\4\9\100, 100\100, 100\Increase Mystic Code EXP from clearing quests by 85\\-\Konoe Ototsugu\\
1074\Heroic Spirit Festival: Lan Ling Wang\4\9\100, 100\100, 100\Increase Mystic Code EXP from clearing quests by 86\\-\hou\\
1075\Heroic Spirit Festival: Leonardo da Vinci\4\9\100, 100\100, 100\Increase Mystic Code EXP from clearing quests by 87\\-\Simosi\\
1076\Heroic Spirit Festival: Robin Hood\4\9\100, 100\100, 100\Increase Mystic Code EXP from clearing quests by 88\\-\Wada Arco\\
1077\Walk in the Park\5\12\400, 250\1600, 1000\Increase Critical Star Gather Rate by 100%, Increase NP Strength by 10%, Increase NP Gauge by 50% at the start of battle\Increase Critical Star Gather Rate by 200%, Increase NP Strength by 15%, Increase NP Gauge by 60% at the start of battle\-\Nozaki Tsubata\\
1078\Morning Glory\4\9\320, 200\1200, 750\Increase Quick Card effectiveness by 6%, Increase Buster Card effectiveness by 6%, Increase NP Gauge by 4% per turn\Increase Quick Card effectiveness by 8%, Increase Buster Card effectiveness by 8%, Increase NP Gauge by 5% per turn\-\Hotosoka\\
1079\Sunday Dinner\3\5\0, 200\0, 1000\Restore 50 HP per turn, Increase Critical Strength by 5%\Restore 100 HP per turn, Increase Critical Strength by 10%\-\kurohachi\\
1080\Detective Foulms\5\12\0, 500\0, 2000\Increase QP from enemy drops by 1%, Increase Bond Points received from battle by 1%\Increase QP from enemy drops by 5%, Increase Bond Points received from battle by 5%\-\Taiki\\
1081\Beautiful Journey\4\9\100, 100\100, 100\When equipped to Leonardo da Vinci (Rider) only, Increase the Critical Star Gather Rate of Arts Card for all allies by 100% while she's on the field\\-\Tatsuyo\\
1082\At the End of a Dream\4\9\100, 100\100, 100\When equipped to Jason (Saber) only, Increase Arts Card effectiveness of all allies by 15% while he's on the field\\-\Higashiyama Yuusei\\
1083\Consider Carefully\4\9\100, 100\100, 100\When equipped to Paris (Archer) only, Increase Quick Card effectiveness of all allies by 10% and Critical Strength by 15% while he's on the field\\-\moryo\\
1084\Ring of Transformation\4\9\100, 100\100, 100\When equipped to Gareth (Lancer) only, Increase Buster Card effectiveness of all allies by 10% and Critical Strength by 15% while she's on the field\\-\Studio A\\
1085\Pirate Rule\4\9\100, 100\100, 100\When equipped to Bartholomew Roberts (Rider) only, Increase NP Gain of all allies by 10% and NP Strength by 10% while he's on the field\\-\nabe\\
1086\Gazing at Spring\4\9\100, 100\100, 100\When equipped to Chen Gong (Caster) only, Increase Buster Card effectiveness of all allies except himself by 20% while he's on the field\\-\\\
1087\Angel's Assassination\4\9\100, 100\100, 100\When equipped to Charlotte Corday (Assassin) only, Increase Critical Strength of all allies by 25% while she's on the field\\-\\\
1088\Yokhanan's Neck\4\9\100, 100\100, 100\When equipped to Salome (Berserker) only, Apply Special Attack [Lawful and Good] 20% to all alllies while she's on the field\\-\\\
1089\Welcome Bunny\5\12\0, 500\0, 2000\Increase Arts Card effectiveness by 10%, Increase Critical Strength by 10%, Gain 3 Critical Stars per turn, Increase Dream Chip drop amount by 1 [Summer 4]\Increase Arts Card effectiveness by 15%, Increase Critical Strength by 15%, Gain 4 Critical Stars per turn, Increase Dream Chip drop amount by 2 [Summer 4]\-\Buriki\\
1090\Purple Eye\4\9\320, 200\1200, 750\Increase Arts Card effectiveness by 8%, Increase Buster Card effectiveness by 8%, Increase Critical Strength by 5%, Increase Miracle Trump drop amount by 1 [Summer 4]\Increase Arts Card effectiveness by 10%, Increase Buster Card effectiveness by 10%, Increase Critical Strength by 10%, Increase Miracle Lamp drop amount by 2 [Summer 4]\-\Souji Hougu\\
1091\Enmatei of Summer\3\5\160, 100\800, 500\Apply Evade (1 time), Increase NP Strength by 5%, Increase Lucky Dice drop amount by 1 [Summer 4]\Apply Evade (1 time), Increase NP Strength by 10%, Increase Lucky Dice drop amount by 2 [Summer 4]\-\Koume Keito\\
